combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult
CASS-ND-2018-4,165,162,193,0,436,412,1,726,375,0,73,776,73,776
CASS-ND-2018-5,186,182,237,0,544,485,0,817,383,0,112,915,112,915
CASS-ND-2018-6,208,183,239,1,416,476,3,736,360,1,53,840,53,840
CASS-ND-2018-7,251,238,313,1,645,541,4,983,443,0,101,1089,101,1089
CASS-ND-2018-8,164,152,226,0,518,500,0,819,385,0,80,938,80,938
CASS-ND-2018-9,220,180,250,0,605,508,0,930,389,0,124,989,124,989
CASS-TX-2018-10,3,3,5,0,9,9,0,11,7,0,2,16,2,16
CASS-TX-2018-11,10,9,6,0,20,15,0,27,7,1,1,34,1,34
CASS-TX-2018-12,2,0,1,0,12,12,0,16,3,0,0,24,0,24
CASS-TX-2018-7,6,6,8,0,27,22,0,23,8,0,2,41,2,41
CASS-TX-2018-8,6,4,3,0,21,20,0,24,5,0,0,38,0,38
CASS-TX-2018-9,10,9,6,0,20,19,0,37,3,0,2,36,2,36
CASSIA-ID-2018-1,10,7,5,0,37,29,0,38,15,5,2,64,2,64
CASSIA-ID-2018-10,1,2,4,0,29,25,0,32,8,0,1,53,1,53
CASSIA-ID-2018-11,3,5,11,0,28,49,0,47,29,3,8,69,8,69
CASSIA-ID-2018-12,4,4,8,0,23,21,0,41,7,0,0,44,0,44
CASSIA-ID-2018-2,5,12,10,0,28,40,1,18,17,7,8,61,8,61
CASSIA-ID-2018-3,16,15,14,0,44,49,0,41,21,5,9,84,9,84
CASSIA-ID-2018-4,11,15,23,0,45,43,0,31,17,3,5,83,5,83
CASSIA-ID-2018-5,14,13,26,0,61,75,0,71,44,2,10,126,10,126
CASSIA-ID-2018-6,3,5,10,0,26,19,0,27,7,2,2,43,2,43
CASSIA-ID-2018-7,13,18,19,0,51,48,0,76,15,1,13,86,13,86
CASSIA-ID-2018-8,8,9,11,0,25,36,0,24,12,1,5,56,5,56
CASSIA-ID-2018-9,14,15,17,0,42,38,0,28,27,3,4,76,4,76
CASTRO-TX-2018-10,0,0,1,0,0,1,0,7,3,0,0,1,0,1
CASTRO-TX-2018-11,1,1,6,0,3,0,9,24,12,0,0,3,0,3
CASTRO-TX-2018-12,0,0,0,0,6,1,0,7,4,0,0,7,0,7
CASTRO-TX-2018-8,1,0,1,0,0,2,0,5,0,0,0,2,0,2
CASTRO-TX-2018-9,0,0,1,0,2,0,0,8,0,0,0,2,0,2
CAVALIER-ND-2018-1,0,0,1,0,2,2,1,4,0,0,0,4,0,4
CAVALIER-ND-2018-10,0,1,0,0,2,0,0,3,0,0,0,2,0,2
CAVALIER-ND-2018-11,0,0,0,0,4,0,0,1,0,0,0,1,0,1
CAVALIER-ND-2018-12,2,3,2,0,1,2,0,5,0,0,0,3,0,3
CAVALIER-ND-2018-2,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CAVALIER-ND-2018-3,0,2,0,0,3,3,0,3,0,0,0,6,0,6
CAVALIER-ND-2018-4,0,2,0,0,3,0,0,7,1,0,2,0,2,0
CAVALIER-ND-2018-5,1,1,1,0,2,1,0,3,1,0,1,2,1,2
CAVALIER-ND-2018-6,0,0,0,0,9,0,0,9,0,0,0,9,0,9
CAVALIER-ND-2018-7,0,0,0,0,2,2,0,2,2,0,0,4,0,4
CAVALIER-ND-2018-8,1,0,1,0,7,1,0,8,0,0,0,8,0,8
CAVALIER-ND-2018-9,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CEDAR-IA-2018-1,3,3,5,0,9,10,0,27,12,1,4,15,4,15
CEDAR-IA-2018-10,0,0,0,0,1,2,0,10,2,0,0,3,0,3
CEDAR-IA-2018-11,1,1,2,0,1,2,0,9,0,0,1,2,1,2
CEDAR-IA-2018-12,2,2,2,0,2,1,0,5,0,0,0,3,0,3
CEDAR-IA-2018-2,5,2,3,0,8,11,0,20,6,0,3,16,3,16
CEDAR-IA-2018-3,4,4,5,0,13,8,0,21,11,1,3,18,3,18
CEDAR-IA-2018-4,1,1,2,0,3,9,0,20,5,0,1,11,1,11
CEDAR-IA-2018-5,10,9,10,0,6,18,0,32,16,0,2,22,2,22
CEDAR-IA-2018-6,1,1,5,0,20,2,0,29,9,0,0,22,0,22
CEDAR-IA-2018-7,3,4,4,0,3,6,0,16,2,0,2,7,2,7
CEDAR-IA-2018-8,1,0,0,0,9,2,0,14,7,1,0,11,0,11
CEDAR-IA-2018-9,3,0,1,0,6,8,0,11,6,0,0,14,0,14
CERRO GORDO-IA-2018-1,14,3,8,0,50,56,0,93,47,0,4,102,4,102
CERRO GORDO-IA-2018-10,15,22,28,0,80,78,1,108,46,0,17,142,17,142
CERRO GORDO-IA-2018-11,15,25,13,0,26,38,2,78,8,0,7,59,7,59
CERRO GORDO-IA-2018-12,6,8,5,0,13,15,1,33,10,0,1,28,1,28
CERRO GORDO-IA-2018-2,9,1,17,0,52,50,0,71,27,0,9,93,9,93
CERRO GORDO-IA-2018-3,20,26,31,1,60,62,4,101,62,4,12,114,12,114
CERRO GORDO-IA-2018-4,38,46,56,0,113,92,10,143,72,2,19,195,19,195
CERRO GORDO-IA-2018-5,40,52,54,0,109,117,7,167,47,1,28,205,28,205
CERRO GORDO-IA-2018-6,47,57,52,0,127,119,4,178,59,0,9,240,9,240
CERRO GORDO-IA-2018-7,50,54,50,0,119,111,3,156,50,1,16,217,16,217
CERRO GORDO-IA-2018-8,30,37,32,0,109,106,3,164,56,0,17,201,17,201
CERRO GORDO-IA-2018-9,30,39,36,0,81,82,3,133,54,0,12,154,12,154
CHAFFEE-CO-2018-1,3,2,5,0,7,15,0,24,6,0,3,19,3,19
CHAFFEE-CO-2018-10,4,1,3,0,9,10,0,11,6,0,3,16,3,16
CHAFFEE-CO-2018-11,4,1,3,0,15,14,0,17,4,0,5,24,5,24
CHAFFEE-CO-2018-12,2,2,1,0,15,10,0,15,15,0,1,24,1,24
CHAFFEE-CO-2018-2,8,9,18,0,15,21,0,42,9,0,16,20,16,20
CHAFFEE-CO-2018-3,6,5,6,0,18,13,0,40,10,0,0,31,0,31
CHAFFEE-CO-2018-4,3,2,0,0,18,10,0,35,8,0,0,28,0,28
CHAFFEE-CO-2018-5,1,11,1,0,15,12,0,29,6,0,1,26,1,26
CHAFFEE-CO-2018-6,4,4,6,0,9,12,0,25,13,0,4,17,4,17
CHAFFEE-CO-2018-7,5,3,4,0,17,12,0,40,13,0,1,28,1,28
CHAFFEE-CO-2018-8,7,6,8,0,17,13,0,32,7,0,2,28,2,28
CHAFFEE-CO-2018-9,0,0,5,0,20,8,0,25,16,0,3,25,3,25
CHAMBERS-TX-2018-1,11,5,20,0,65,53,1,79,35,49,15,100,15,100
CHAMBERS-TX-2018-10,25,18,34,0,147,83,1,185,56,47,13,215,13,215
CHAMBERS-TX-2018-11,10,12,15,0,56,62,4,96,39,31,5,112,5,112
CHAMBERS-TX-2018-12,24,14,23,1,52,66,6,106,51,32,6,112,6,112
CHAMBERS-TX-2018-2,9,11,37,0,67,41,3,80,45,45,8,92,8,92
CHAMBERS-TX-2018-3,21,18,22,0,50,41,4,71,46,46,0,89,0,89
CHAMBERS-TX-2018-4,14,14,19,0,44,37,0,61,24,34,0,80,0,80
CHAMBERS-TX-2018-5,7,8,8,0,33,50,1,70,31,54,3,80,3,80
CHAMBERS-TX-2018-6,8,17,14,0,42,46,0,68,34,42,3,78,3,78
CHAMBERS-TX-2018-7,11,7,24,0,67,72,6,129,61,34,4,132,4,132
CHAMBERS-TX-2018-8,22,19,26,0,78,58,2,150,26,34,3,123,3,123
CHAMBERS-TX-2018-9,20,17,16,0,64,51,6,105,39,31,9,103,9,103
CHAMPAIGN-OH-2018-1,33,44,37,0,55,90,0,119,74,0,69,73,69,73
CHAMPAIGN-OH-2018-10,9,23,19,0,60,68,0,111,59,0,21,105,21,105
CHAMPAIGN-OH-2018-11,7,24,8,0,82,51,0,118,39,1,29,104,29,104
CHAMPAIGN-OH-2018-12,11,20,10,0,43,39,2,69,45,0,12,67,12,67
CHAMPAIGN-OH-2018-2,8,21,3,0,53,82,0,110,47,1,29,106,29,106
CHAMPAIGN-OH-2018-3,6,14,16,0,41,25,0,83,39,0,12,52,12,52
CHAMPAIGN-OH-2018-4,12,22,13,0,55,44,0,96,40,1,10,85,10,85
CHAMPAIGN-OH-2018-5,14,20,14,0,73,69,1,114,36,5,10,126,10,126
CHAMPAIGN-OH-2018-6,13,28,11,0,63,75,0,117,45,1,16,122,16,122
CHAMPAIGN-OH-2018-7,16,37,12,0,50,58,0,93,65,3,10,95,10,95
CHAMPAIGN-OH-2018-8,15,24,11,0,85,78,1,119,74,1,22,121,22,121
CHAMPAIGN-OH-2018-9,5,19,19,0,54,73,1,103,53,0,22,103,22,103
CHARITON-MO-2018-10,2,1,1,0,1,7,0,5,3,0,4,4,4,4
CHARITON-MO-2018-11,2,0,0,0,3,4,0,5,1,0,0,7,0,7
CHARITON-MO-2018-12,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CHARITON-MO-2018-9,3,2,3,0,4,3,0,1,7,0,0,7,0,7
CHARLES CITY-VA-2018-1,0,0,1,0,1,5,0,4,2,0,0,6,0,6
CHARLES CITY-VA-2018-10,3,2,1,0,3,6,0,7,1,0,1,7,1,7
CHARLES CITY-VA-2018-11,0,1,0,0,4,2,0,1,0,0,0,6,0,6
CHARLES CITY-VA-2018-12,1,1,1,0,1,3,0,7,1,0,1,2,1,2
CHARLES CITY-VA-2018-2,1,2,7,0,7,3,0,9,2,0,6,4,6,4
CHARLES CITY-VA-2018-3,0,0,0,0,2,9,0,13,1,0,0,10,0,10
CHARLES CITY-VA-2018-4,2,2,2,0,2,2,0,2,0,1,1,3,1,3
CHARLES CITY-VA-2018-5,4,4,4,0,4,8,0,17,9,0,2,10,2,10
CHARLES CITY-VA-2018-6,1,1,4,0,5,9,0,7,5,2,2,12,2,12
CHARLES CITY-VA-2018-7,0,0,1,0,1,3,0,4,0,0,0,2,0,2
CHARLES CITY-VA-2018-8,1,1,1,0,0,2,0,3,0,0,0,2,0,2
CHARLES CITY-VA-2018-9,4,4,5,0,2,5,0,8,2,0,1,6,1,6
CHARLES MIX-SD-2018-1,5,2,6,0,4,8,0,11,5,0,2,9,2,9
CHARLES MIX-SD-2018-10,3,0,2,0,10,16,0,33,8,0,0,26,0,26
CHARLES MIX-SD-2018-11,3,1,3,0,4,3,0,6,5,0,0,7,0,7
CHARLES MIX-SD-2018-12,0,1,0,0,2,3,0,3,2,0,1,4,1,4
CHARLES MIX-SD-2018-2,2,0,0,0,5,3,0,10,8,0,0,8,0,8
CHARLES MIX-SD-2018-3,4,4,4,0,6,9,0,13,5,0,1,14,1,14
CHARLES MIX-SD-2018-4,3,1,4,0,4,6,0,12,4,0,0,10,0,10
CHARLES MIX-SD-2018-5,3,0,4,0,8,6,0,16,4,0,0,14,0,14
CHARLES MIX-SD-2018-6,3,4,6,0,6,7,0,10,6,0,2,9,2,9
CHARLES MIX-SD-2018-7,12,8,8,0,4,10,0,20,4,0,0,14,0,14
CHARLES MIX-SD-2018-8,2,0,4,0,3,10,0,8,5,0,1,11,1,11
CHARLES MIX-SD-2018-9,1,1,4,0,2,2,0,7,3,0,1,3,1,3
CHARLESTON-SC-2018-1,136,135,200,0,452,392,2,758,321,27,107,736,107,736
CHARLESTON-SC-2018-10,122,135,262,4,664,518,2,1072,322,72,104,1076,104,1076
CHARLESTON-SC-2018-11,87,108,221,0,553,436,0,891,279,51,114,870,114,870
CHARLESTON-SC-2018-12,87,87,204,0,560,574,1,898,345,48,101,1029,101,1029
CHARLESTON-SC-2018-2,148,170,251,4,469,456,1,813,340,25,102,818,102,818
CHARLESTON-SC-2018-3,109,139,228,0,470,426,4,908,302,37,89,809,89,809
CHARLESTON-SC-2018-4,104,109,218,0,448,440,1,737,289,66,107,782,107,782
CHARLESTON-SC-2018-5,133,133,223,0,498,486,3,795,315,45,92,892,92,892
CHARLESTON-SC-2018-6,105,104,212,0,549,449,6,929,315,65,88,915,88,915
CHARLESTON-SC-2018-7,127,116,217,0,631,531,3,935,299,62,51,1110,51,1110
CHARLESTON-SC-2018-8,155,164,249,2,635,510,6,920,398,89,81,1060,81,1060
CHARLESTON-SC-2018-9,128,141,273,0,520,498,1,832,327,65,98,915,98,915
CHARLEVOIX-MI-2018-1,14,7,8,0,18,46,4,61,15,0,8,57,8,57
CHARLEVOIX-MI-2018-10,13,11,22,0,28,37,0,49,33,0,7,58,7,58
CHARLEVOIX-MI-2018-11,11,10,14,0,18,18,0,44,12,0,8,28,8,28
CHARLEVOIX-MI-2018-12,7,8,11,0,19,20,0,39,14,0,2,37,2,37
CHARLEVOIX-MI-2018-2,11,10,14,0,13,19,0,35,9,0,9,23,9,23
CHARLEVOIX-MI-2018-3,4,2,7,0,11,23,0,43,19,0,2,32,2,32
CHARLEVOIX-MI-2018-4,13,12,15,0,21,24,0,54,10,0,9,36,9,36
CHARLEVOIX-MI-2018-5,10,11,14,0,24,27,1,61,28,1,5,45,5,45
CHARLEVOIX-MI-2018-6,9,9,12,0,23,24,0,31,13,2,3,44,3,44
CHARLEVOIX-MI-2018-7,17,13,24,0,36,37,0,55,25,0,5,66,5,66
CHARLEVOIX-MI-2018-8,13,8,13,0,31,36,0,60,27,0,7,60,7,60
CHARLEVOIX-MI-2018-9,18,17,23,0,46,40,0,94,18,0,15,70,15,70
CHARLOTTE-VA-2018-1,7,6,7,0,16,14,0,23,6,0,2,25,2,25
CHARLOTTE-VA-2018-10,3,2,9,0,19,23,0,25,11,0,3,38,3,38
CHARLOTTE-VA-2018-11,10,8,13,0,13,18,0,43,9,0,5,18,5,18
CHARLOTTE-VA-2018-12,1,0,2,0,4,8,0,7,5,0,3,7,3,7
CHARLOTTE-VA-2018-2,3,9,13,0,23,17,0,30,14,0,24,14,24,14
CHARLOTTE-VA-2018-3,7,9,12,0,17,17,0,28,11,0,1,32,1,32
CHARLOTTE-VA-2018-4,7,5,9,0,17,10,0,28,4,1,5,22,5,22
CHARLOTTE-VA-2018-5,4,5,4,0,7,17,1,31,12,0,1,20,1,20
CHARLOTTE-VA-2018-6,1,2,11,0,29,13,0,33,13,1,1,37,1,37
CHARLOTTE-VA-2018-7,7,5,2,0,8,12,0,18,8,0,0,18,0,18
CHARLOTTE-VA-2018-8,4,3,2,0,6,4,0,21,1,0,0,9,0,9
CHARLOTTE-VA-2018-9,3,4,5,0,14,4,4,12,1,0,1,13,1,13
CHARLOTTESVILLE CITY-VA-2018-1,42,38,53,0,123,139,0,155,48,144,6,255,6,255
CHARLOTTESVILLE CITY-VA-2018-10,36,37,82,0,125,146,0,161,57,131,37,233,37,233
CHARLOTTESVILLE CITY-VA-2018-11,33,33,53,0,122,117,0,95,34,150,13,226,13,226
CHARLOTTESVILLE CITY-VA-2018-12,48,46,85,0,144,154,0,140,52,185,20,278,20,278
CHARLOTTESVILLE CITY-VA-2018-2,24,30,48,0,110,113,0,140,44,128,6,217,6,217
CHARLOTTESVILLE CITY-VA-2018-3,26,29,56,0,151,140,0,175,41,175,10,277,10,277
CHARLOTTESVILLE CITY-VA-2018-4,27,31,64,0,130,108,0,171,56,126,20,217,20,217
CHARLOTTESVILLE CITY-VA-2018-5,29,25,53,0,115,131,0,125,53,138,14,232,14,232
CHARLOTTESVILLE CITY-VA-2018-6,21,19,60,0,136,98,1,151,48,124,10,225,10,225
CHARLOTTESVILLE CITY-VA-2018-7,36,43,64,3,110,175,4,119,75,155,12,273,12,273
CHARLOTTESVILLE CITY-VA-2018-8,45,51,66,0,173,103,3,197,43,150,26,250,26,250
CHARLOTTESVILLE CITY-VA-2018-9,42,39,84,0,130,171,0,163,48,150,20,279,20,279
CHASE-KS-2018-11,0,1,0,0,0,1,0,1,0,0,0,1,0,1
CHASE-KS-2018-4,0,0,1,0,0,1,0,2,1,0,0,1,0,1
CHASE-KS-2018-5,3,0,0,0,1,3,0,3,1,0,0,4,0,4
CHASE-KS-2018-8,1,0,0,0,1,1,0,1,0,0,0,2,0,2
CHASE-NB-2018-1,0,0,0,0,1,0,0,5,2,0,1,0,1,0
CHASE-NB-2018-10,0,0,0,0,1,1,0,0,0,0,0,2,0,2
CHASE-NB-2018-11,0,0,1,0,3,1,0,3,0,0,0,4,0,4
CHASE-NB-2018-12,0,0,0,0,1,3,0,0,0,0,0,4,0,4
CHASE-NB-2018-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHASE-NB-2018-3,2,0,2,0,3,2,0,2,2,0,0,5,0,5
CHASE-NB-2018-7,0,0,0,0,0,2,0,0,0,0,1,1,1,1
CHASE-NB-2018-8,0,0,0,0,1,1,0,0,0,0,0,2,0,2
CHASE-NB-2018-9,0,0,0,0,1,1,0,2,2,0,1,1,1,1
CHATHAM-GA-2018-10,0,0,0,0,1,0,0,0,0,1,0,1,0,1
CHATHAM-GA-2018-11,0,0,0,0,3,0,0,3,2,3,0,3,0,3
CHATHAM-GA-2018-12,0,0,0,0,4,0,0,13,7,6,0,2,0,2
CHATHAM-GA-2018-6,0,0,0,0,1,0,0,0,0,1,0,1,0,1
CHATHAM-GA-2018-7,0,0,0,0,1,0,0,0,0,1,0,1,0,1
CHATHAM-GA-2018-8,0,0,0,0,1,0,0,0,0,1,0,1,0,1
CHATHAM-GA-2018-9,0,0,0,0,0,1,0,0,0,1,0,1,0,1
CHAUTAUQUA-KS-2018-1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
CHAUTAUQUA-KS-2018-10,0,0,0,0,1,1,0,1,0,0,0,2,0,2
CHAUTAUQUA-KS-2018-11,4,6,6,0,10,0,0,12,2,0,1,9,1,9
CHAUTAUQUA-KS-2018-12,0,0,0,0,3,0,0,0,2,0,0,3,0,3
CHAUTAUQUA-KS-2018-2,0,0,0,0,4,1,0,6,0,0,0,5,0,5
CHAUTAUQUA-KS-2018-3,4,4,0,0,9,0,0,8,7,0,0,9,0,9
CHAUTAUQUA-KS-2018-4,3,0,2,0,4,5,0,4,2,0,0,9,0,9
CHAUTAUQUA-KS-2018-5,0,0,0,0,0,2,0,1,0,0,0,2,0,2
CHAUTAUQUA-KS-2018-6,0,0,1,0,8,2,0,17,0,0,0,10,0,10
CHAUTAUQUA-KS-2018-7,0,0,0,0,5,0,0,3,2,0,0,5,0,5
CHAUTAUQUA-KS-2018-8,2,1,2,0,2,5,0,14,2,0,1,6,1,6
CHAUTAUQUA-KS-2018-9,0,0,0,0,1,1,0,1,1,0,0,2,0,2
CHEATHAM-TN-2018-1,21,30,22,0,64,68,0,132,62,39,11,121,11,121
CHEATHAM-TN-2018-10,21,27,51,0,89,84,0,157,73,38,18,155,18,155
CHEATHAM-TN-2018-11,18,29,37,0,73,64,1,140,67,27,25,112,25,112
CHEATHAM-TN-2018-12,20,28,34,1,86,56,0,148,47,27,12,129,12,129
CHEATHAM-TN-2018-2,17,31,19,0,67,57,0,116,57,47,14,110,14,110
CHEATHAM-TN-2018-3,14,32,38,0,88,60,1,138,79,31,24,124,24,124
CHEATHAM-TN-2018-4,31,34,46,0,70,75,0,171,72,28,12,130,12,130
CHEATHAM-TN-2018-5,20,27,31,0,80,78,0,169,113,26,9,149,9,149
CHEATHAM-TN-2018-6,24,53,42,0,105,76,2,141,69,43,18,165,18,165
CHEATHAM-TN-2018-7,39,51,52,0,89,98,0,161,79,40,8,179,8,179
CHEATHAM-TN-2018-8,17,15,35,0,121,61,1,170,64,29,17,166,17,166
CHEATHAM-TN-2018-9,37,31,53,0,95,82,3,143,78,52,26,154,26,154
CHEBOYGAN-MI-2018-1,17,16,27,0,20,25,0,58,14,0,14,31,14,31
CHEBOYGAN-MI-2018-10,8,9,19,0,40,36,0,67,16,0,7,69,7,69
CHEBOYGAN-MI-2018-11,6,4,4,0,33,23,0,65,17,0,6,50,6,50
CHEBOYGAN-MI-2018-12,4,7,9,0,19,20,0,34,25,0,3,36,3,36
CHEBOYGAN-MI-2018-2,7,7,10,0,14,13,0,37,12,0,8,19,8,19
CHEBOYGAN-MI-2018-3,12,10,16,0,21,32,0,43,18,0,12,41,12,41
CHEBOYGAN-MI-2018-4,10,8,5,0,26,16,0,51,14,0,7,35,7,35
CHEBOYGAN-MI-2018-5,6,7,9,0,19,23,0,49,19,0,8,34,8,34
CHEBOYGAN-MI-2018-6,9,8,9,0,14,26,0,51,27,0,5,35,5,35
CHEBOYGAN-MI-2018-7,13,12,11,0,30,38,0,61,26,0,6,62,6,62
CHEBOYGAN-MI-2018-8,24,25,34,0,56,44,0,89,52,0,12,88,12,88
CHEBOYGAN-MI-2018-9,13,14,16,0,49,17,0,49,23,0,5,61,5,61
CHELAN-WA-2018-1,28,18,52,0,140,112,0,192,42,0,29,223,29,223
CHELAN-WA-2018-10,43,33,46,0,146,137,0,205,63,0,17,266,17,266
CHELAN-WA-2018-11,23,16,20,0,116,87,0,186,45,0,12,191,12,191
CHELAN-WA-2018-12,31,16,27,0,132,121,0,156,78,0,13,240,13,240
CHELAN-WA-2018-2,21,17,28,0,102,74,0,116,35,0,16,160,16,160
CHELAN-WA-2018-3,33,29,25,0,86,105,0,139,53,0,16,175,16,175
CHELAN-WA-2018-4,57,34,43,3,122,135,0,180,73,0,18,239,18,239
CHELAN-WA-2018-5,35,20,30,0,79,99,0,173,52,0,11,167,11,167
CHELAN-WA-2018-6,48,33,37,0,116,127,0,170,85,0,16,227,16,227
CHELAN-WA-2018-7,53,21,31,0,164,134,1,212,98,0,22,277,22,277
CHELAN-WA-2018-8,37,25,42,0,118,87,0,177,59,0,12,193,12,193
CHELAN-WA-2018-9,28,8,20,0,118,123,0,162,81,0,16,225,16,225
CHEROKEE-IA-2018-1,4,3,2,0,10,11,0,44,6,4,0,21,0,21
CHEROKEE-IA-2018-10,0,0,0,0,1,1,0,3,0,1,0,2,0,2
CHEROKEE-IA-2018-11,5,4,4,0,3,9,0,7,7,1,1,11,1,11
CHEROKEE-IA-2018-12,0,0,1,0,4,2,0,2,0,2,0,6,0,6
CHEROKEE-IA-2018-2,4,4,4,0,4,4,0,6,1,4,1,7,1,7
CHEROKEE-IA-2018-3,5,4,4,0,2,3,0,8,5,0,1,4,1,4
CHEROKEE-IA-2018-4,6,5,6,0,13,6,0,21,0,1,1,18,1,18
CHEROKEE-IA-2018-5,3,0,0,0,5,4,0,10,4,2,2,7,2,7
CHEROKEE-IA-2018-6,3,5,6,0,9,10,0,21,1,3,0,19,0,19
CHEROKEE-IA-2018-7,6,6,7,0,10,5,0,13,4,1,0,15,0,15
CHEROKEE-IA-2018-8,2,2,5,0,8,3,0,19,10,2,0,11,0,11
CHEROKEE-IA-2018-9,7,7,7,0,8,7,0,12,1,2,1,14,1,14
CHEROKEE-KS-2018-1,11,7,6,0,20,19,1,34,7,0,4,35,4,35
CHEROKEE-KS-2018-10,10,14,9,0,63,57,0,65,56,2,2,118,2,118
CHEROKEE-KS-2018-11,10,7,8,0,55,44,1,77,69,1,0,99,0,99
CHEROKEE-KS-2018-12,13,15,19,0,48,34,3,56,22,0,3,78,3,78
CHEROKEE-KS-2018-2,11,8,13,0,39,35,0,64,25,2,3,70,3,70
CHEROKEE-KS-2018-3,11,10,9,0,41,29,0,42,29,0,1,68,1,68
CHEROKEE-KS-2018-4,21,17,29,0,56,57,1,58,62,1,1,112,1,112
CHEROKEE-KS-2018-5,16,13,17,0,41,34,2,65,7,0,1,74,1,74
CHEROKEE-KS-2018-6,12,17,18,0,57,26,0,59,9,1,4,79,4,79
CHEROKEE-KS-2018-7,12,8,9,0,55,35,0,76,19,1,5,85,5,85
CHEROKEE-KS-2018-8,25,24,22,0,82,57,12,104,64,4,7,131,7,131
CHEROKEE-KS-2018-9,18,14,21,0,72,32,0,71,37,1,8,94,8,94
CHEROKEE-OK-2018-1,28,29,19,0,82,75,8,146,66,1,10,155,10,155
CHEROKEE-OK-2018-10,16,17,23,0,52,69,13,139,75,1,2,132,2,132
CHEROKEE-OK-2018-11,23,25,22,0,64,83,13,127,65,7,14,146,14,146
CHEROKEE-OK-2018-12,19,30,22,0,60,77,25,151,53,1,8,154,8,154
CHEROKEE-OK-2018-2,17,21,12,0,58,67,12,107,37,2,1,136,1,136
CHEROKEE-OK-2018-3,8,12,9,0,84,58,4,99,80,1,11,135,11,135
CHEROKEE-OK-2018-4,20,23,15,0,56,74,8,123,61,1,5,132,5,132
CHEROKEE-OK-2018-5,21,17,20,0,82,93,7,136,65,6,2,180,2,180
CHEROKEE-OK-2018-6,20,24,19,0,63,78,16,135,84,0,11,145,11,145
CHEROKEE-OK-2018-7,32,36,39,0,78,115,19,181,77,5,9,203,9,203
CHEROKEE-OK-2018-8,18,15,20,0,74,87,10,160,79,1,9,162,9,162
CHEROKEE-OK-2018-9,13,18,18,0,77,76,18,123,87,0,9,162,9,162
CHEROKEE-SC-2018-1,27,41,43,0,147,209,1,201,87,30,22,329,22,329
CHEROKEE-SC-2018-10,45,62,51,0,169,180,1,212,130,9,25,325,25,325
CHEROKEE-SC-2018-11,27,34,34,0,88,132,1,142,69,12,20,199,20,199
CHEROKEE-SC-2018-12,80,81,82,0,224,233,4,304,129,8,36,414,36,414
CHEROKEE-SC-2018-2,33,49,39,0,144,166,3,169,107,11,11,297,11,297
CHEROKEE-SC-2018-3,42,57,48,0,176,191,4,252,103,8,23,346,23,346
CHEROKEE-SC-2018-4,45,60,62,0,201,222,1,238,104,12,20,402,20,402
CHEROKEE-SC-2018-5,62,64,96,5,211,266,6,294,166,11,63,410,63,410
CHEROKEE-SC-2018-6,49,69,55,0,164,213,3,240,127,13,11,366,11,366
CHEROKEE-SC-2018-7,32,47,72,0,162,191,2,228,116,18,22,330,22,330
CHEROKEE-SC-2018-8,79,95,83,3,217,254,2,288,165,14,15,454,15,454
CHEROKEE-SC-2018-9,38,51,41,0,194,220,6,242,90,3,17,394,17,394
CHEROKEE-TX-2018-1,27,22,22,0,72,97,0,99,33,51,8,161,8,161
CHEROKEE-TX-2018-10,34,22,28,0,96,84,0,131,39,37,5,174,5,174
CHEROKEE-TX-2018-11,24,19,22,0,66,70,0,86,23,46,6,130,6,130
CHEROKEE-TX-2018-12,35,26,39,0,95,85,0,112,43,55,17,163,17,163
CHEROKEE-TX-2018-2,38,31,40,0,78,87,4,115,47,31,13,154,13,154
CHEROKEE-TX-2018-3,41,33,45,0,106,104,1,142,53,45,15,190,15,190
CHEROKEE-TX-2018-4,32,31,43,0,104,85,1,132,43,36,16,171,16,171
CHEROKEE-TX-2018-5,44,35,40,0,81,114,2,147,69,32,20,177,20,177
CHEROKEE-TX-2018-6,54,49,58,0,99,113,3,169,61,40,22,190,22,190
CHEROKEE-TX-2018-7,51,35,41,0,91,107,0,141,67,49,15,183,15,183
CHEROKEE-TX-2018-8,32,24,37,0,110,114,0,155,56,64,12,212,12,212
CHEROKEE-TX-2018-9,35,25,26,0,95,104,0,124,36,75,13,186,13,186
CHERRY-NB-2018-1,4,4,8,0,1,14,0,6,18,0,0,15,0,15
CHERRY-NB-2018-10,5,5,4,0,2,3,0,11,3,0,4,1,4,1
CHERRY-NB-2018-11,3,3,4,0,1,3,0,4,8,0,0,4,0,4
CHERRY-NB-2018-12,4,4,6,0,5,6,0,9,13,0,3,8,3,8
CHERRY-NB-2018-2,1,1,1,0,3,0,0,8,4,0,0,3,0,3
CHERRY-NB-2018-3,9,9,18,0,20,10,0,7,31,0,0,30,0,30
CHERRY-NB-2018-4,0,1,1,0,8,2,0,18,2,0,0,10,0,10
CHERRY-NB-2018-5,2,4,3,0,12,2,0,16,1,0,1,13,1,13
CHERRY-NB-2018-6,0,0,1,0,6,1,0,12,17,0,2,5,2,5
